"ProcessName"
"csrss"
"csrss"
"ctfmon"
"dllhost"
"dllhost"
"dwm"
"explorer"
"fontdrvhost"
"fontdrvhost"
"GoogleCrashHandler"
"GoogleCrashHandler64"
"Idle"
"lsass"
"Memory Compression"
"msdtc"
"MsMpEng"
"NisSrv"
"notepad"
"powershell_ise"
"Registry"
"RuntimeBroker"
"RuntimeBroker"
"RuntimeBroker"
"SearchFilterHost"
"SearchIndexer"
"SearchProtocolHost"
"SearchUI"
"SecurityHealthService"
"SecurityHealthSystray"
"services"
"SgrmBroker"
"ShellExperienceHost"
"sihost"
"smartscreen"
"smss"
"spoolsv"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"svchost"
"System"
"taskhostw"
"VGAuthService"
"vm3dservice"
"vm3dservice"
"vmtoolsd"
"vmtoolsd"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp"
"wininit"
"winlogon"
"WmiPrvSE"
"WmiPrvSE"
