"ServiceName"
"AJRouter"
"ALG"
"AppIDSvc"
"Appinfo"
"AppMgmt"
"AppReadiness"
"AppVClient"
"AppXSvc"
"AssignedAccessManagerSvc"
"AudioEndpointBuilder"
"Audiosrv"
"AxInstSV"
"BcastDVRUserService_1653e4"
"BDESVC"
"BFE"
"BITS"
"BluetoothUserService_1653e4"
"BrokerInfrastructure"
"BTAGService"
"BthAvctpSvc"
"bthserv"
"camsvc"
"CaptureService_1653e4"
"cbdhsvc_1653e4"
"CDPSvc"
"CDPUserSvc_1653e4"
"CertPropSvc"
"ClipSVC"
"COMSysApp"
"ConsentUxUserSvc_1653e4"
"CoreMessagingRegistrar"
"CryptSvc"
"CscService"
"DcomLaunch"
"defragsvc"
"DeviceAssociationService"
"DeviceInstall"
"DevicePickerUserSvc_1653e4"
"DevicesFlowUserSvc_1653e4"
"DevQueryBroker"
"Dhcp"
"diagnosticshub.standardcollector.service"
"diagsvc"
"DiagTrack"
"DisplayEnhancementService"
"DmEnrollmentSvc"
"dmwappushservice"
"Dnscache"
"DoSvc"
"dot3svc"
"DPS"
"DsmSvc"
"DsSvc"
"DusmSvc"
"Eaphost"
"EFS"
"embeddedmode"
"EntAppSvc"
"EventLog"
"EventSystem"
"Fax"
"fdPHost"
"FDResPub"
"fhsvc"
"FontCache"
"FrameServer"
"GoogleChromeElevationService"
"gpsvc"
"GraphicsPerfSvc"
"gupdate"
"gupdatem"
"hidserv"
"HvHost"
"icssvc"
"IKEEXT"
"InstallService"
"iphlpsvc"
"IpxlatCfgSvc"
"irmon"
"KeyIso"
"KtmRm"
"LanmanServer"
"LanmanWorkstation"
"lfsvc"
"LicenseManager"
"lltdsvc"
"lmhosts"
"LSM"
"LxpSvc"
"MapsBroker"
"MessagingService_1653e4"
"mpssvc"
"MSDTC"
"MSiSCSI"
"msiserver"
"NaturalAuthentication"
"NcaSvc"
"NcbService"
"NcdAutoSetup"
"Netlogon"
"Netman"
"netprofm"
"NetSetupSvc"
"NetTcpPortSharing"
"NgcCtnrSvc"
"NgcSvc"
"NlaSvc"
"nsi"
"OneSyncSvc_1653e4"
"p2pimsvc"
"p2psvc"
"PcaSvc"
"PeerDistSvc"
"perceptionsimulation"
"PerfHost"
"PhoneSvc"
"PimIndexMaintenanceSvc_1653e4"
"pla"
"PlugPlay"
"PNRPAutoReg"
"PNRPsvc"
"PolicyAgent"
"Power"
"PrintNotify"
"PrintWorkflowUserSvc_1653e4"
"ProfSvc"
"PushToInstall"
"QWAVE"
"RasAuto"
"RasMan"
"RemoteAccess"
"RemoteRegistry"
"RetailDemo"
"RmSvc"
"RpcEptMapper"
"RpcLocator"
"RpcSs"
"SamSs"
"SCardSvr"
"ScDeviceEnum"
"Schedule"
"SCPolicySvc"
"SDRSVC"
"seclogon"
"SecurityHealthService"
"SEMgrSvc"
"SENS"
"Sense"
"SensorDataService"
"SensorService"
"SensrSvc"
"SessionEnv"
"SgrmBroker"
"SharedAccess"
"SharedRealitySvc"
"ShellHWDetection"
"shpamsvc"
"smphost"
"SmsRouter"
"SNMPTRAP"
"spectrum"
"Spooler"
"sppsvc"
"SSDPSRV"
"ssh-agent"
"SstpSvc"
"StateRepository"
"stisvc"
"StorSvc"
"svsvc"
"swprv"
"SysMain"
"SystemEventsBroker"
"TabletInputService"
"TapiSrv"
"TermService"
"Themes"
"TieringEngineService"
"TimeBrokerSvc"
"TokenBroker"
"TrkWks"
"TrustedInstaller"
"tzautoupdate"
"UevAgentService"
"UmRdpService"
"UnistoreSvc_1653e4"
"upnphost"
"UserDataSvc_1653e4"
"UserManager"
"UsoSvc"
"VacSvc"
"VaultSvc"
"vds"
"VGAuthService"
"VM3DService"
"vmicguestinterface"
"vmicheartbeat"
"vmickvpexchange"
"vmicrdv"
"vmicshutdown"
"vmictimesync"
"vmicvmsession"
"vmicvss"
"VMTools"
"vmvss"
"VSS"
"W32Time"
"WaaSMedicSvc"
"WalletService"
"WarpJITSvc"
"wbengine"
"WbioSrvc"
"Wcmsvc"
"wcncsvc"
"WdiServiceHost"
"WdiSystemHost"
"WdNisSvc"
"WebClient"
"Wecsvc"
"WEPHOSTSVC"
"wercplsupport"
"WerSvc"
"WFDSConMgrSvc"
"WiaRpc"
"WinDefend"
"WinHttpAutoProxySvc"
"Winmgmt"
"WinRM"
"wisvc"
"WlanSvc"
"wlidsvc"
"wlpasvc"
"WManSvc"
"wmiApSrv"
"WMPNetworkSvc"
"workfolderssvc"
"WpcMonSvc"
"WPDBusEnum"
"WpnService"
"WpnUserService_1653e4"
"wscsvc"
"WSearch"
"wuauserv"
"WwanSvc"
"XblAuthManager"
"XblGameSave"
"XboxGipSvc"
"XboxNetApiSvc"
